generation,cooperation_rate,average_payoff,frac_AllC,frac_AllD,frac_TFT,frac_GTFT,frac_Pavlov,frac_Random,frac_Grudger
66,0.9992,2.9987,0.0068,0.0004,0.0184,0.0060,0.0076,0.0000,0.9608
67,1.0000,3.0000,0.0072,0.0000,0.0184,0.0060,0.0076,0.0000,0.9608
68,0.9992,2.9987,0.0076,0.0004,0.0188,0.0060,0.0076,0.0000,0.9596
69,1.0000,3.0000,0.0080,0.0000,0.0188,0.0064,0.0076,0.0000,0.9592
70,0.9987,2.9988,0.0080,0.0004,0.0188,0.0068,0.0076,0.0004,0.9580
71,0.9995,3.0001,0.0080,0.0000,0.0188,0.0072,0.0076,0.0004,0.9580
72,1.0000,3.0000,0.0080,0.0000,0.0200,0.0076,0.0076,0.0000,0.9568
73,1.0000,3.0000,0.0084,0.0000,0.0200,0.0084,0.0076,0.0000,0.9556
74,1.0000,3.0000,0.0084,0.0000,0.0204,0.0084,0.0076,0.0000,0.9552
75,1.0000,3.0000,0.0084,0.0000,0.0204,0.0084,0.0076,0.0000,0.9552
76,0.9995,3.0002,0.0084,0.0000,0.0204,0.0088,0.0076,0.0004,0.9544
77,0.9994,3.0000,0.0084,0.0000,0.0208,0.0088,0.0080,0.0004,0.9536
78,1.0000,3.0000,0.0084,0.0000,0.0212,0.0088,0.0080,0.0000,0.9536
79,0.9992,2.9987,0.0084,0.0004,0.0212,0.0088,0.0080,0.0000,0.9532
80,0.9992,2.9987,0.0084,0.0004,0.0208,0.0092,0.0084,0.0000,0.9528
81,1.0000,3.0000,0.0084,0.0000,0.0216,0.0092,0.0092,0.0000,0.9516
82,1.0000,3.0000,0.0088,0.0000,0.0216,0.0092,0.0096,0.0000,0.9508
83,1.0000,3.0000,0.0088,0.0000,0.0216,0.0092,0.0096,0.0000,0.9508
84,1.0000,3.0000,0.0092,0.0000,0.0224,0.0096,0.0096,0.0000,0.9492
85,0.9983,2.9994,0.0092,0.0004,0.0220,0.0104,0.0096,0.0008,0.9476
86,0.9992,2.9987,0.0084,0.0004,0.0220,0.0108,0.0104,0.0000,0.9480
87,0.9992,2.9987,0.0088,0.0004,0.0220,0.0108,0.0108,0.0000,0.9472
88,0.9992,2.9987,0.0088,0.0004,0.0224,0.0108,0.0108,0.0000,0.9468
89,0.9996,3.0003,0.0088,0.0000,0.0224,0.0108,0.0108,0.0004,0.9468
90,0.9992,2.9987,0.0088,0.0004,0.0224,0.0108,0.0108,0.0000,0.9468
91,1.0000,3.0000,0.0088,0.0000,0.0228,0.0108,0.0112,0.0000,0.9464
92,0.9992,2.9987,0.0088,0.0004,0.0228,0.0108,0.0116,0.0000,0.9456
93,1.0000,3.0000,0.0092,0.0000,0.0232,0.0112,0.0120,0.0000,0.9444
94,1.0000,3.0000,0.0092,0.0000,0.0232,0.0116,0.0120,0.0000,0.9440
95,1.0000,3.0000,0.0092,0.0000,0.0236,0.0120,0.0120,0.0000,0.9432
96,0.9992,2.9987,0.0092,0.0004,0.0240,0.0120,0.0124,0.0000,0.9420
97,0.9995,2.9999,0.0096,0.0000,0.0240,0.0124,0.0128,0.0004,0.9408
98,1.0000,3.0000,0.0096,0.0000,0.0240,0.0128,0.0128,0.0000,0.9408
99,0.9992,2.9987,0.0096,0.0004,0.0240,0.0128,0.0132,0.0000,0.9400
